Value,Jonl
1.0,Advanced Photonics Research
1.0,Advanced Science
1.0,Advanced Theory and Simulations
1.0,Advances in Civil Engineering
1.0,Advances in Colloid and Interface Science
1.0,Advances in Intelligent Computing and …
1.0,Advances in Medical Sciences
1.0,Advances in Micro-and Nanofluidics
1.0,Advances in Physics X
1.0,Advances in Smart Communication Technology and …
1.0,Advances in Structural Engineering
1.0,Advances in Water Resources
1.0,Aerospace Science and Technology
1.0,Aging & Mental Health
1.0,AgriEngineering
1.0,Alcohol and Alcoholism
1.0,Alexandria Engineering Journal
1.0,Allergologie
1.0,Alternative Therapies in Health and Medicine
1.0,American Psychologist
1.0,Analytica Chimica Acta
1.0,Analytical Chemistry
1.0,Andrologia
1.0,Animals
1.0,Annalen der Physik
1.0,Annals of Nuclear Energy
1.0,Annals of Translational …
1.0,Annals of the Romanian …
1.0,Annu. Rev. Earth Planet. Sci
1.0,Annual Review of Clinical Psychology
1.0,Annual Review of Clinical …
1.0,Annual Review of Neuroscience
1.0,Antec: Revista Peruana de Investigación Musical
1.0,Anxiety in Older People: Clinical …
1.0,Applications of Advanced Green Materials
1.0,Applied Materials Today
1.0,Applied Mathematics Letters
1.0,Applied Nanoscience
1.0,Applied Neuropsychology …
4.0,Applied Optics
1.0,Applied Physics A
1.0,Applied Physics B
4.0,Applied Physics Express
3.0,Applied Physics Letters
1.0,Applied Sciences
1.0,Applied Spectroscopy Reviews
1.0,Applied Surface Science
4.0,Applied optics
1.0,Aquaculture
1.0,Arabian Journal of Geosciences
1.0,Archives of Toxicology
1.0,Array
1.0,Artificial Intelligence to Solve Pervasive Internet of …
3.0,Asia Communications and Photonics Conference
3.0,Asia Communications and Photonics …
3.0,Asia Communications and …
1.0,Asian Journal of Psychiatry
1.0,Asian Journal of Research …
1.0,Atmospheric Measurement …
1.0,Australian & New Zealand …
1.0,Automation in Construction
1.0,Avicenna Journal of Clinical …
1.0,Avicenna Journal of Neuro Psycho …
1.0,BJPsych Open
1.0,BMC Geriatrics
1.0,BMC Health Services …
1.0,BMC Psychiatry
1.0,BMC Psychology
1.0,BMJ Evidence-Based Medicine
1.0,BMJ Open
1.0,BMJ open
1.0,Behavior Therapy
1.0,Behavioral Interventions
1.0,Behaviour Change
1.0,Behaviour Research and Therapy
1.0,Behaviour Research and …
1.0,Behavioural Pharmacology
1.0,Behavioural and cognitive …
1.0,Beton‐und Stahlbetonbau
1.0,Bio-Based Epoxy Polymers
1.0,BioMed Research …
1.0,Biological Psychiatry
1.0,Biological Reviews
1.0,Biomedical Optics Express
1.0,Biomedicine & Pharmacotherapy
1.0,Biomedicine & …
1.0,Biomolecules
1.0,Biosensors
1.0,Biosensors and Bioelectronics
1.0,Biosensors and …
1.0,Biotechnology Bulletin
1.0,Biotechnology Reports
1.0,Body Image
1.0,Bone Research
1.0,Boundary-Layer Meteorology
1.0,Brain
1.0,Brain Injury
1.0,Brain Research
1.0,Brain Research Bulletin
1.0,Brain Structure and Function
1.0,Brain Topography
1.0,Brain and Behavior
1.0,Brazilian Journal of Medical …
1.0,Brazilian Journal of Physics
1.0,British Journal of Biomedical …
1.0,British Journal of Clinical …
1.0,Broadband Access Communication Technologies XV
1.0,Broadband Access …
1.0,Bulletin of Engineering Geology and the Environment
1.0,Bulletin of the American Physical Society
1.0,Bulletin of the American …
1.0,CA: A Cancer Journal for …
1.0,CBT Case Formulation as Therapeutic Process
1.0,CNS Neuroscience & Therapeutics
1.0,Canadian Journal of Counselling and …
1.0,Cancer
1.0,Cancer Epidemiology and …
1.0,Carbon
1.0,Cardiac Electrophysiology Clinics
1.0,Cardiometry
1.0,Cell Biology and Toxicology
1.0,Cell Reports Medicine
1.0,Cellular and Molecular …
1.0,Cellulose
1.0,Cement and Concrete Composites
1.0,Cement and Concrete …
1.0,Ceramics International
1.0,Chaos
1.0,Chemical Engineering Journal
1.0,Chemical Engineering …
1.0,Chemical Research in …
1.0,Chemical Society Reviews
1.0,Chemistry–An Asian Journal
1.0,Chemosensors
1.0,Chemosphere
1.0,Child Maltreatment
1.0,Child Psychiatry & Human …
1.0,Child and Adolescent Psychiatric Clinics
1.0,Children and Youth Services Review
1.0,Children's Health Care
1.0,Chinese Chemical Letters
3.0,Chinese Optics Letters
2.0,Chinese Physics B
3.0,Chinese Physics Letters
1.0,Circuits
1.0,Climacteric
1.0,Clinical EEG and Neuroscience
1.0,Clinical Psychological Science
1.0,Clinical Psychological …
1.0,Clinical Psychology & …
1.0,Clinical Psychology Review
1.0,Clinical Psychology: Science and Practice
1.0,Coatings
1.0,Cognitive
1.0,Cognitive Behaviour Therapy
1.0,Cognitive Computation and Systems
1.0,Cognitive Therapy and Research
1.0,Cognitive Therapy and …
1.0,Cognitive and Behavioral …
1.0,Colloids and Surfaces A: Physicochemical …
1.0,Coloration Technology
1.0,Communications Materials
1.0,Communications Physics
1.0,Communications in Theoretical Physics
1.0,Composites Part A: Applied Science and …
1.0,Composites Part A: Applied …
1.0,Composites Part B: Engineering
1.0,Composites Part C: Open Access
1.0,Composites Science and Technology
1.0,Composites Science and …
1.0,Comprehensive Psychiatry
1.0,Computer Networks
1.0,Computers and Geotechnics
1.0,Computers in Biology and Medicine
1.0,Conflict and Health
1.0,Construction Robotics
1.0,Construction and Building Materials
1.0,Construction and Building …
1.0,Contactless Human Activity …
1.0,Control and Operation of Grid-Connected Wind …
1.0,Controller Tuning Optimization Methods for Multi …
1.0,Counseling and Family Therapy Scholarship Review
1.0,Critical Reviews in …
1.0,Crystal Growth & Design
1.0,Crystals
1.0,Cuadernos de Bioética
1.0,Current Analytical Chemistry
1.0,Current Behavioral Neuroscience Reports
1.0,Current Biology
1.0,Current Journal of Applied Science and Technology
1.0,Current Obesity Reports
1.0,Current Opinion in Neurobiology
1.0,Current Opinion in Solid …
1.0,Current Optics and Photonics
1.0,Current Psychology
1.0,Current Research in Behavioral …
1.0,Current Treatment Options in Psychiatry
1.0,Cytokine & Growth Factor …
1.0,DEPARTMENT OF ELECTRICAL AND ELECTRONICS …
1.0,DSPA
1.0,Daoism in Modern China: Clerics and Temples in …
1.0,Defence Science Journal
1.0,Depression and Anxiety
1.0,Desalination
1.0,Design for Maintainability
1.0,Development and …
1.0,Diagnostic and Therapeutic …
1.0,Diamond and Related …
1.0,Digital Signal Processing
1.0,Drug Discovery Today
1.0,Drug and Alcohol …
1.0,Drugs & Aging
1.0,Dyes and Pigments
1.0,Dynamics and Fluctuations in Biomedical Photonics …
1.0,Dynamics and Fluctuations …
1.0,Dynamics of Systems …
1.0,E3S Web of Conferences
1.0,EAGE GeoTech  Second …
1.0,EPL (Europhysics Letters)
1.0,ES Gopi Editor
1.0,Earth
1.0,Earth System Science Data …
1.0,Earth and Space
1.0,Earth and Space 
1.0,Earth-Science Reviews
1.0,Ecoregional Green Roofs
1.0,Egyptian Journal of …
1.0,Electrocatalysis
1.0,Electrochimica Acta
1.0,Electromagnetic Non-Destructive Evaluation (XXIII)
1.0,Electronics
3.0,Electronics Letters
1.0,Elife
1.0,Endocrinology
1.0,Energies
1.0,Energy (au)
1.0,Eng
1.0,Eng. J
1.0,Engineering
1.0,Engineering Failure Analysis
1.0,Engineering Fracture Mechanics
1.0,Engineering Geology
1.0,Engineering Research Express
1.0,Engineering Structures
1.0,Engineering with Computers
1.0,Entropy
1.0,Environment Systems and …
1.0,Environmental Chemistry Letters
1.0,Environmental Science and …
1.0,Environmental and Experimental …
1.0,Environments
1.0,Essentials of Psychiatry for Dermatology and Aesthetic …
1.0,Estudio de los métodos de …
1.0,European Archives of …
1.0,European Child & Adolescent Psychiatry
1.0,European Conference on Optical …
1.0,European Conference on …
1.0,European Conference …
1.0,European Geriatric …
1.0,European Journal of Environmental and Civil …
1.0,European Journal of Neurology
1.0,European Journal of …
1.0,European Neuropsychopharmacology
1.0,European Workshop on Structural Health Monitoring …
1.0,Evidence-Based Mental …
1.0,Evidence-Based Practice
1.0,Experimental Biology and Medicine
1.0,Experimental Mechanics
1.0,Experimental Neurology
1.0,Experimental Research of Cavity Optomechanics
1.0,Experimental and Therapeutic Medicine
1.0,Expert Review of Clinical …
1.0,Expressa Extensão
1.0,Families
1.0,Family-based Intervention for Child and Adolescent …
1.0,Fatigue & Fracture of Engineering Materials …
1.0,Fiber Lasers XVIII …
1.0,Fiber Lasers XVIII: Technology and Systems
1.0,Fiber Optic Sensors and Applications XVII
1.0,Fiber Optic Sensors and …
1.0,Fiber and Integrated Optics
1.0,Fibers
1.0,Fibers and Polymers
1.0,Fire Safety Journal
1.0,Food & Nutrition Research
1.0,Food Frontiers
1.0,Fourth International Conference on …
1.0,Fourth International Seminar on Photonics
1.0,Frontiers in Aging …
1.0,Frontiers in Behavioral Neuroscience
1.0,Frontiers in Behavioral …
1.0,Frontiers in Cellular …
1.0,Frontiers in Chemistry
1.0,Frontiers in Genetics
1.0,Frontiers in Pharmacology
1.0,Frontiers in Physics
1.0,Frontiers in Physiology
1.0,Frontiers in Psychiatry
1.0,Frontiers in Psychology
1.0,Frontiers of Information Technology & Electronic …
1.0,Frontiers of Information Technology & …
1.0,Frontiers of Information …
1.0,Frontiers of Optoelectronics
1.0,Frontiers of Physics
1.0,Fullerenes
1.0,Fusion Engineering and Design
1.0,Fusion Engineering and …
1.0,GLOBECOM - …
1.0,GPH-International Journal of Mathematics
1.0,Gallium Nitride Materials and Devices XVI
1.0,General Psychiatry
1.0,Genes & Development
1.0,Genes & Diseases
1.0,Geofluids
1.0,Geological Journal of China Universities
1.0,Geomatics
1.0,Geomechanics and …
1.0,Geomechanics for Energy and the Environment
1.0,Geophysical Journal International
1.0,Geophysical Journal …
1.0,Geophysical Prospecting
1.0,Geophysical prospecting for petroleum
1.0,Geophysics
1.0,Geosciences
1.0,Geotechnical Aspects of …
1.0,Geotechnical Testing Journal
1.0,Geothermal Energy
1.0,Global Intelligent Industry Conference
1.0,Global Intelligent Industry Conference 
1.0,Global Intelligent Industry Conference …
1.0,Global Intelligent Industry …
1.0,Global Mental Health
1.0,Global and Planetary …
1.0,Green Technologies and …
1.0,Groundwater
1.0,Harmful Algae
1.0,Health
1.0,Health & Place
1.0,Heart
1.0,High Power Laser Science …
1.0,ICASSP - IEEE International Conference on …
1.0,ICASSP - IEEE …
1.0,ICOL-: Proceedings of the International …
1.0,ICOL-: Proceedings of …
1.0,IEEE 17th India Council International Conference …
1.0,IEEE 17th India Council International …
1.0,IEEE 17th …
1.0,IEEE 2nd International Conference on Big Data …
1.0,IEEE 34th …
1.0,IEEE 3rd International …
1.0,IEEE 4th Conference on Energy Internet and …
1.0,IEEE 4th Conference on Information & …
1.0,IEEE 4th International Conference on Frontiers of …
1.0,IEEE 4th International Conference on …
1.0,IEEE 6th International Conference on Computer …
1.0,IEEE 6th International …
1.0,IEEE 92nd Vehicular Technology Conference …
3.0,IEEE Access
1.0,IEEE Communications Letters
1.0,IEEE Conference on Telecommunications
1.0,IEEE Custom Integrated …
1.0,IEEE Electrical Design of Advanced Packaging …
1.0,IEEE International Conference on Consumer …
1.0,IEEE International Conference on Healthcare …
1.0,IEEE International Conference on Industrial …
1.0,IEEE International Conference on Integrated …
1.0,IEEE International Conference on …
1.0,IEEE International Symposium on …
1.0,IEEE International …
6.0,IEEE Internet of Things Journal
1.0,IEEE Internet of Things …
1.0,IEEE Journal of Microwaves
2.0,IEEE Journal of Quantum Electronics
2.0,IEEE Journal of Quantum …
3.0,IEEE Journal of Selected
3.0,IEEE Journal of Selected 
3.0,IEEE Journal of Selected Topics in Quantum
3.0,IEEE Journal of Selected Topics in Quantum 
3.0,IEEE Journal of Selected Topics in Quantum …
3.0,IEEE Journal of Selected …
1.0,IEEE Journal of Solid-State …
1.0,IEEE Journal on Selected Areas in …
1.0,IEEE Journal on Selected …
1.0,IEEE Microwave and …
1.0,IEEE PHOTONICS …
3.0,IEEE Photonics Journal
3.0,IEEE Photonics Technology
3.0,IEEE Photonics Technology 
3.0,IEEE Photonics Technology Letters
3.0,IEEE Photonics Technology …
1.0,IEEE Robotics and Automation Letters
1.0,IEEE Robotics and …
3.0,IEEE Sensors Journal
1.0,IEEE Systems Journal
1.0,IEEE Transactions on Aerospace and Electronic …
1.0,IEEE Transactions on Applied …
1.0,IEEE Transactions on Circuits and Systems I …
1.0,IEEE Transactions on Electron Devices
1.0,IEEE Transactions on Industrial Electronics
1.0,IEEE Transactions on Instrumentation and …
1.0,IEEE Transactions on Instrumentation …
1.0,IEEE Transactions on Microwave Theory and …
1.0,IEEE Transactions on Pattern Analysis and Machine …
1.0,IEEE Transactions on Power …
1.0,IEEE Transactions on …
1.0,IEEE Wireless …
1.0,IEEJ Journal of Industry Applications
1.0,IEICE Conferences Archives
1.0,IEICE Technical Report; IEICE Tech. Rep.
1.0,IEICE Transactions on …
1.0,IET Communications
1.0,IET Optoelectronics
1.0,IET Radar
1.0,IET Science
1.0,IETE Journal of Research
1.0,IETE Technical Review
1.0,IGARSS - IEEE International Geoscience …
1.0,IGARSS - IEEE …
1.0,IIMB Management Review
1.0,INGE CUC
1.0,IOP Conference Series …
1.0,IOP Conference Series: Earth and Environmental …
1.0,IOP Conference Series: Earth and …
1.0,IOP Conference Series: Materials Science and …
1.0,IOP Conference Series: Materials …
1.0,Immunity
1.0,Implementation Science
1.0,In Vivo
1.0,Indian Journal of Palliative …
1.0,Indian Journal of Physics
1.0,Indian Journal of Science and Technology
1.0,Indian Journal of Science and …
1.0,Industrial Crops and Products
1.0,Information Fusion
1.0,Information Sciences
1.0,Information Technology in …
1.0,Infrared Physics & Technology
1.0,Infrared Physics & …
1.0,Innovations in Electrical and Electronic …
1.0,Inorganic Chemistry
1.0,Insects
1.0,Insights in Toxoplasma Biology …
1.0,Instrumentation Science & Technology
1.0,Instrumentation Science & …
1.0,Integrated Optics: Design
1.0,Integrated Optics: Design …
1.0,Integrated Optics: Devices …
1.0,Interfaces
1.0,International Clinical Psychopharmacology
1.0,International Conference on …
1.0,International Journal of Applied …
1.0,International Journal of Autonomous and Adaptive …
1.0,International Journal of Bank Marketing
1.0,International Journal of Civil …
1.0,International Journal of Computer Assisted Radiology …
1.0,International Journal of Electrical & Computer …
1.0,International Journal of Electrical Power & …
1.0,International Journal of Engineering Technologies and …
1.0,International Journal of Environmental Science and …
1.0,International Journal of GEOMATE
1.0,International Journal of Heat and Mass Transfer
1.0,International Journal of Heat …
1.0,International Journal of Information Communication …
1.0,International Journal of Integrated Engineering
1.0,International Journal of Machine Tools and …
1.0,International Journal of Maritime Technology
1.0,International Journal of Mechanical …
1.0,International Journal of Microwave and Wireless …
1.0,International Journal of Molecular Sciences
1.0,International Journal of Molecular …
3.0,International Journal of Optics
1.0,International Journal of Optics and Photonics
1.0,International Journal of Play Therapy
1.0,International Journal of Pressure …
1.0,International Journal of RF and Microwave Computer …
1.0,International Journal of Rock Mechanics and Mining …
1.0,International Journal of Solids …
1.0,International Journal of …
1.0,International Multidisciplinary Scientific …
1.0,International Petroleum …
1.0,International Quarterly of …
1.0,International RILEM Conference on Early-age …
1.0,International Topical Meeting on Microwave …
1.0,International Topical Meeting on …
1.0,International Topical Meeting …
1.0,International Topical …
1.0,International …
1.0,Ionics
1.0,Iranian Journal of Science …
1.0,JAMA Network Open
1.0,JAMA psychiatry
1.0,JBI evidence synthesis
1.0,JMIR Mental Health
1.0,JMIR mHealth and uHealth
1.0,JNCI Cancer Spectrum
1.0,JOSA B
1.0,JURNAL BIOMEDIK: JBM
1.0,JURNAL ELTEK
1.0,Jawaharlal Nehru Technological University Anantapur
1.0,Journal of Advanced Engineering Trends
1.0,Journal of Affective Disorders
1.0,Journal of Affective …
1.0,Journal of Algorithms & Computational …
1.0,Journal of Alloys and Compounds
1.0,Journal of Alloys and …
1.0,Journal of Ambient Intelligence and …
1.0,Journal of Analytical and …
1.0,Journal of Analytical …
1.0,Journal of Anatomy
1.0,Journal of Animal Science
1.0,Journal of Applied Geophysics
1.0,Journal of Applied Mathematics and Physics
1.0,Journal of Applied Physics
1.0,Journal of Applied Polymer Science
1.0,Journal of Applied Polymer …
1.0,Journal of Applied Remote Sensing
1.0,Journal of Applied Science and …
1.0,Journal of Applied …
1.0,Journal of Autism and …
1.0,Journal of Biological Chemistry
1.0,Journal of Biomedical Optics
1.0,Journal of Biophotonics
1.0,Journal of Building Engineering
1.0,Journal of Cancer Research …
1.0,Journal of Cancer Survivorship
1.0,Journal of Cellular Physiology
1.0,Journal of Chemical Education
1.0,Journal of Civil Structural Health Monitoring
1.0,Journal of Civil Structural …
1.0,Journal of Clinical Medicine
1.0,Journal of Colloid and Interface Science
1.0,Journal of Comparative Physiology B
1.0,Journal of Composite Materials
1.0,Journal of Composites Science
1.0,Journal of Composites …
1.0,Journal of Computational Electronics
1.0,Journal of Computational and Applied …
1.0,Journal of Computational …
1.0,Journal of Constructional Steel Research
1.0,Journal of Consulting and Clinical …
1.0,Journal of Consulting and …
1.0,Journal of Contaminant …
1.0,Journal of Contemporary Issues in Business and …
1.0,Journal of Contemporary Psychotherapy
1.0,Journal of Contemporary …
1.0,Journal of Counseling …
1.0,Journal of Educational Psychology Studies
1.0,Journal of Electronic Imaging
1.0,Journal of Energy Storage
1.0,Journal of Engineered Fibers and Fabrics
1.0,Journal of Family and Community …
1.0,Journal of Field Robotics
1.0,Journal of General Internal Medicine
1.0,Journal of Geophysical Research: Solid Earth
1.0,Journal of Geophysical …
1.0,Journal of Hazardous Materials
1.0,Journal of Hazardous …
1.0,Journal of Hydro-environment Research
1.0,Journal of Hydrology
1.0,Journal of Inorganic Biochemistry
1.0,Journal of Intelligent Material Systems and Structures
1.0,Journal of Intelligent Material Systems and …
1.0,Journal of Korean Medicine for Obesity …
1.0,Journal of Laser Applications
1.0,Journal of Leukocyte …
6.0,Journal of Lightwave
6.0,Journal of Lightwave 
6.0,Journal of Lightwave Technology
6.0,Journal of Lightwave …
1.0,Journal of Low Temperature Physics
1.0,Journal of Luminescence
1.0,Journal of Materials Research and …
1.0,Journal of Materials Science: Materials in Electronics
1.0,Journal of Materials Science: Materials in …
1.0,Journal of Materials …
1.0,Journal of Mechanisms and Robotics
1.0,Journal of Medical Internet …
1.0,Journal of Membrane …
1.0,Journal of Mental Health …
1.0,Journal of Micro and Nano-Manufacturing
1.0,Journal of Microbiology
1.0,Journal of Micromechanics and …
1.0,Journal of Microwaves
1.0,Journal of Modern Optics
1.0,Journal of Molecular …
1.0,Journal of Mountain Science
1.0,Journal of Nanophotonics
1.0,Journal of Nanoscience and Nanotechnology
1.0,Journal of Nanoscience and …
1.0,Journal of Nanostructure in …
1.0,Journal of Neurochemistry
1.0,Journal of Neuroinflammation
1.0,Journal of Neuropathology …
1.0,Journal of Neuroscience
1.0,Journal of Neuroscience Methods
1.0,Journal of Neuroscience Research
1.0,Journal of Non-Crystalline …
1.0,Journal of Nondestructive Evaluation
1.0,Journal of Nuclear Materials
1.0,Journal of Ocular Pharmacology and Therapeutics
2.0,Journal of Optical Communications
1.0,Journal of Optical Communications and Networking
2.0,Journal of Optical …
2.0,Journal of Optics
1.0,Journal of Personalized …
1.0,Journal of Petroleum Exploration and Production
1.0,Journal of Pharmaceutical Research International
1.0,Journal of Physics Communications
2.0,Journal of Physics D …
2.0,Journal of Physics D: Applied Physics
2.0,Journal of Physics D: Applied …
1.0,Journal of Physics …
2.0,Journal of Physics: Conference Series
3.0,Journal of Physics: Photonics
1.0,Journal of Pipeline Systems Engineering and Practice
1.0,Journal of Power Sources
1.0,Journal of Psychedelic Studies
1.0,Journal of Psychiatric Practice®
1.0,Journal of Psychiatric Research
1.0,Journal of Psychiatric …
1.0,Journal of Psychoactive Drugs
1.0,Journal of Psychopharmacology
1.0,Journal of Psychosomatic Research
1.0,Journal of Psychosomatic …
1.0,Journal of Public Health …
1.0,Journal of Quantitative Spectroscopy and …
1.0,Journal of Raman Spectroscopy
1.0,Journal of Rational-Emotive & Cognitive-Behavior …
1.0,Journal of Reinforced …
1.0,Journal of Religion and Health
1.0,Journal of Russian Laser Research
1.0,Journal of Semiconductors
1.0,Journal of Sensors
1.0,Journal of Sound and Vibration
1.0,Journal of Spacecraft and Rockets
1.0,Journal of Substance Abuse …
1.0,Journal of Testing and Evaluation
1.0,Journal of The Electrochemical Society
1.0,Journal of The Electrochemical …
1.0,Journal of The …
1.0,Journal of Theoretical and Philosophical Psychology
1.0,Journal of Trauma and …
1.0,Journal of Traumatic Stress
1.0,Journal of Vacuum Science & Technology A: Vacuum …
1.0,Journal of Vibroengineering
1.0,Journal of Volcanology and …
1.0,Journal of ZheJiang University …
1.0,Journal of the Indian Society of Remote Sensing
1.0,Journal of …
1.0,KSCE Journal of Civil Engineering
1.0,Kidney360
1.0,Kinesiology Review
1.0,KnE Life Sciences
1.0,Korean Chemical Engineering Research
1.0,Korean Journal of Biological …
1.0,La Rivista del Nuovo Cimento
1.0,Lab on a Chip
1.0,Landslides
1.0,Langmuir
1.0,Laser & Photonics Reviews
1.0,Laser Applications in …
1.0,Laser Physics
1.0,Laser Physics Letters
1.0,Laser-based Micro-and Nanoprocessing …
1.0,Laser-based Micro-and …
1.0,Life-Cycle Civil Engineering …
7.0,Light
7.0,Light: Science & Applications
7.0,Light: Science & …
7.0,Light: Science and …
1.0,Liquid Crystals
1.0,Lung Inflammation in Health and Disease
1.0,MAGYAR ONKOLÓGIA
1.0,MATEC Web of Conferences
1.0,MRS Advances
1.0,Machine Intelligence and Smart Systems: Proceedings …
1.0,Macromolecular Materials and Engineering
1.0,Macromolecules
1.0,Materials
1.0,Materials & Design
1.0,Materials Advances
1.0,Materials Chemistry and Physics
1.0,Materials Letters
1.0,Materials Research Proceedings
1.0,Materials Science and …
1.0,Materials Today …
1.0,Materials Today: Proceedings
1.0,Materials and Structures
1.0,Mathematical Methods in the Applied Sciences
1.0,Mathematical Problems in Engineering
1.0,Mathematics
3.0,Measurement
3.0,Measurement Science and Technology
1.0,Measurement Science and …
1.0,Mechanical Systems and Signal Processing
1.0,Mechanical Systems and …
1.0,Mechanical and Dynamic Properties of …
1.0,Mechanics of Advanced Materials and …
1.0,Mechanics of Composite Materials
1.0,Mechanics of Materials
1.0,Medical & Biological Engineering …
1.0,Medical Research Archives
1.0,Medical physics
1.0,Mediterranean Journal of Clinical Psychology
1.0,Metals
1.0,Methods and Applications in …
1.0,Metro and Data Center …
1.0,Metrologia
1.0,Micro-structured and Specialty …
1.0,Micro-structured and …
1.0,Microchemical Journal
1.0,Microelectronics Journal
1.0,Microfluidics and Nanofluidics
1.0,Micromachines
1.0,Microporous and Mesoporous Materials
1.0,Microprocessors and Microsystems
1.0,Microsystem Technologies
1.0,Microwave and Optical Technology Letters
1.0,Microwave and Optical …
1.0,Mid-infrared Quantum Cascade Lasers for Chaos …
1.0,Mindfulness
1.0,Mine Water and the Environment
1.0,Modern Physics Letters B
1.0,Modern Techniques of Spectroscopy: Basics …
1.0,Molecular Neurobiology
1.0,Molecular Psychiatry
1.0,Molecules
1.0,Multifunctional Antennas and Arrays for Wireless …
1.0,Multimedia Tools and Applications
1.0,NDE 4.0 and Smart …
1.0,NPJ Flexible Electronics
1.0,NSG 26th European …
1.0,Nano Energy
1.0,Nano Letters
1.0,Nano Select
1.0,Nano Today
1.0,Nano-
1.0,Nano-Micro Letters
1.0,Nanomaterials
1.0,Nanomechanics
1.0,Nanophotonics
1.0,Nanoscale
1.0,Nanoscale Processing
1.0,Nanoscale Research Letters
1.0,Nanotechnology
1.0,Nanotechnology and Precision Engineering
1.0,Nature Biomedical …
4.0,Nature Communications
1.0,Nature Human Behaviour
6.0,Nature Photonics
1.0,Nature Physics
1.0,NeuroImage: Clinical
1.0,Neurobiology of Disease
1.0,Neurobiology of Stress
1.0,Neurochemistry …
1.0,Neurocomputing
1.0,Neuropharmacology
1.0,Neurophotonics
1.0,Neuropsychiatric Disease and Treatment
1.0,Neuropsychobiology
1.0,Neuropsychopharmacology
1.0,Neuroscience
1.0,Neuroscience & Biobehavioral Reviews
1.0,Neuroscience & Biobehavioral …
1.0,Neuroscience Letters
1.0,Neuroscience Research
1.0,Neurotoxicity Research
1.0,New Journal of Chemistry
1.0,New Journal of Physics
