Value,Jonl
1.0,Composites Part A: Applied Science and …
1.0,Composites Part A: Applied …
1.0,Composites Part B: Engineering
1.0,Composites Science and Technology
1.0,Computer Networks
1.0,Computers in Biology and Medicine
1.0,Conflict and Health
1.0,Construction and Building …
1.0,Contactless Human Activity …
1.0,Crystals
1.0,Current Analytical Chemistry
1.0,Current Opinion in Solid …
1.0,Current Psychology
1.0,Current Research in Behavioral …
1.0,Daoism in Modern China: Clerics and Temples in …
1.0,Defence Science Journal
1.0,Desalination
1.0,Design for Maintainability
1.0,Development and …
1.0,Diamond and Related …
1.0,Digital Signal Processing
1.0,Drugs & Aging
1.0,Dyes and Pigments
1.0,E3S Web of Conferences
1.0,EPL (Europhysics Letters)
1.0,Earth and Space 
1.0,Earth-Science Reviews
1.0,Electrocatalysis
1.0,Electrochimica Acta
1.0,Electronics
3.0,Electronics Letters
1.0,Energies
1.0,Energy (au)
1.0,Eng
1.0,Engineering Failure Analysis
1.0,Engineering Geology
1.0,Engineering Structures
1.0,Entropy
1.0,Environment Systems and …
1.0,Environmental and Experimental …
1.0,Essentials of Psychiatry for Dermatology and Aesthetic …
1.0,European Child & Adolescent Psychiatry
1.0,European Geriatric …
1.0,Evidence-Based Practice
1.0,Experimental Mechanics
1.0,Experimental and Therapeutic Medicine
1.0,Fiber Lasers XVIII …
1.0,Fiber Optic Sensors and Applications XVII
1.0,Fiber Optic Sensors and …
1.0,Fiber and Integrated Optics
1.0,Food Frontiers
1.0,Frontiers in Behavioral Neuroscience
1.0,Frontiers in Chemistry
1.0,Frontiers in Physics
1.0,Frontiers in Psychiatry
1.0,Frontiers in Psychology
1.0,Frontiers of Information Technology & …
1.0,Frontiers of Optoelectronics
1.0,Frontiers of Physics
1.0,Geofluids
1.0,Geological Journal of China Universities
1.0,Geomechanics and …
1.0,Geophysical Journal …
1.0,Geophysical Prospecting
1.0,Geophysics
1.0,Geotechnical Aspects of …
1.0,Global Intelligent Industry Conference 
1.0,Global Intelligent Industry Conference …
1.0,Global Intelligent Industry …
1.0,Health & Place
1.0,High Power Laser Science …
1.0,ICASSP - IEEE International Conference on …
1.0,ICASSP - IEEE …
1.0,ICOL-: Proceedings of the International …
1.0,IEEE Access
1.0,IEEE Communications Letters
6.0,IEEE Internet of Things Journal
2.0,IEEE Journal of Quantum Electronics
2.0,IEEE Journal of Quantum …
3.0,IEEE Journal of Selected 
3.0,IEEE Journal of Selected Topics in Quantum 
3.0,IEEE Journal of Selected Topics in Quantum …
3.0,IEEE Journal of Selected …
1.0,IEEE Journal of Solid-State …
1.0,IEEE Journal on Selected Areas in …
1.0,IEEE Journal on Selected …
3.0,IEEE Photonics Journal
3.0,IEEE Photonics Technology 
3.0,IEEE Photonics Technology Letters
3.0,IEEE Photonics Technology …
1.0,IEEE Robotics and Automation Letters
3.0,IEEE Sensors Journal
1.0,IEEE Transactions on Electron Devices
1.0,IEEE Transactions on Industrial Electronics
1.0,IEEE Transactions on Instrumentation …
1.0,IEEE Transactions on Microwave Theory and …
1.0,IEEE Transactions on Pattern Analysis and Machine …
1.0,IEEE Transactions on …
1.0,IEICE Conferences Archives
1.0,IEICE Technical Report; IEICE Tech. Rep.
1.0,IEICE Transactions on …
1.0,IET Communications
1.0,IET Optoelectronics
1.0,IET Radar
1.0,IET Science
1.0,IIMB Management Review
1.0,INGE CUC
1.0,IOP Conference Series …
1.0,IOP Conference Series: Earth and Environmental …
1.0,IOP Conference Series: Earth and …
1.0,Implementation Science
1.0,Indian Journal of Physics
1.0,Industrial Crops and Products
1.0,Information Technology in …
1.0,Infrared Physics & Technology
1.0,Insects
1.0,Insights in Toxoplasma Biology …
1.0,Instrumentation Science & …
1.0,Integrated Optics: Design
1.0,Integrated Optics: Design …
1.0,Integrated Optics: Devices …
1.0,International Clinical Psychopharmacology
1.0,International Journal of Engineering Technologies and …
1.0,International Journal of Heat and Mass Transfer
1.0,International Journal of Heat …
1.0,International Journal of Mechanical …
1.0,International Journal of Microwave and Wireless …
3.0,International Journal of Optics
1.0,International Journal of Play Therapy
1.0,International Journal of Pressure …
1.0,International Journal of RF and Microwave Computer …
1.0,International Journal of Rock Mechanics and Mining …
1.0,International Journal of Solids …
1.0,International Journal of …
1.0,International Quarterly of …
1.0,International RILEM Conference on Early-age …
1.0,Ionics
1.0,JAMA Network Open
1.0,JAMA psychiatry
1.0,JBI evidence synthesis
1.0,JMIR Mental Health
1.0,JOSA B
1.0,JURNAL ELTEK
1.0,Journal of Advanced Engineering Trends
1.0,Journal of Affective …
1.0,Journal of Algorithms & Computational …
1.0,Journal of Alloys and …
1.0,Journal of Applied Geophysics
1.0,Journal of Applied Physics
1.0,Journal of Applied Polymer Science
1.0,Journal of Applied Science and …
1.0,Journal of Autism and …
1.0,Journal of Biomedical Optics
1.0,Journal of Biophotonics
1.0,Journal of Building Engineering
1.0,Journal of Civil Structural …
1.0,Journal of Comparative Physiology B
1.0,Journal of Composites Science
1.0,Journal of Computational Electronics
1.0,Journal of Computational and Applied …
1.0,Journal of Computational …
1.0,Journal of Constructional Steel Research
1.0,Journal of Consulting and …
1.0,Journal of Contemporary Issues in Business and …
1.0,Journal of Contemporary Psychotherapy
1.0,Journal of Contemporary …
1.0,Journal of Counseling …
1.0,Journal of Electronic Imaging
1.0,Journal of Energy Storage
1.0,Journal of Engineered Fibers and Fabrics
1.0,Journal of Geophysical …
1.0,Journal of Hazardous …
1.0,Journal of Hydro-environment Research
1.0,Journal of Hydrology
1.0,Journal of Inorganic Biochemistry
1.0,Journal of Intelligent Material Systems and …
6.0,Journal of Lightwave 
6.0,Journal of Lightwave Technology
6.0,Journal of Lightwave …
1.0,Journal of Low Temperature Physics
1.0,Journal of Luminescence
1.0,Journal of Materials Research and …
1.0,Journal of Materials …
1.0,Journal of Medical Internet …
1.0,Journal of Membrane …
1.0,Journal of Modern Optics
1.0,Journal of Nanoscience and Nanotechnology
1.0,Journal of Nanoscience and …
1.0,Journal of Non-Crystalline …
1.0,Journal of Nuclear Materials
2.0,Journal of Optical Communications
2.0,Journal of Optical …
2.0,Journal of Optics
1.0,Journal of Petroleum Exploration and Production
1.0,Journal of Pharmaceutical Research International
2.0,Journal of Physics D …
2.0,Journal of Physics D: Applied Physics
2.0,Journal of Physics D: Applied …
1.0,Journal of Physics: Conference Series
3.0,Journal of Physics: Photonics
1.0,Journal of Psychedelic Studies
1.0,Journal of Psychiatric …
1.0,Journal of Psychoactive Drugs
1.0,Journal of Psychosomatic …
1.0,Journal of Public Health …
1.0,Journal of Raman Spectroscopy
1.0,Journal of Rational-Emotive & Cognitive-Behavior …
1.0,Journal of Semiconductors
1.0,Journal of Substance Abuse …
1.0,Journal of The Electrochemical …
1.0,Journal of Theoretical and Philosophical Psychology
1.0,Journal of Traumatic Stress
1.0,Journal of Vacuum Science & Technology A: Vacuum …
1.0,Journal of Vibroengineering
1.0,Journal of ZheJiang University …
1.0,Kidney360
1.0,KnE Life Sciences
1.0,Korean Chemical Engineering Research
1.0,Korean Journal of Biological …
1.0,La Rivista del Nuovo Cimento
1.0,Lab on a Chip
1.0,Langmuir
1.0,Laser & Photonics Reviews
1.0,Laser Physics
1.0,Life-Cycle Civil Engineering …
7.0,Light
7.0,Light: Science & Applications
1.0,Liquid Crystals
1.0,Lung Inflammation in Health and Disease
1.0,Machine Intelligence and Smart Systems: Proceedings …
1.0,Macromolecular Materials and Engineering
1.0,Macromolecules
1.0,Materials & Design
1.0,Materials Advances
1.0,Materials Chemistry and Physics
1.0,Materials Today …
1.0,Materials Today: Proceedings
1.0,Materials and Structures
1.0,Mathematical Methods in the Applied Sciences
1.0,Mathematical Problems in Engineering
1.0,Measurement
1.0,Measurement Science and Technology
1.0,Mechanical Systems and Signal Processing
1.0,Mechanical and Dynamic Properties of …
1.0,Mechanics of Advanced Materials and …
1.0,Mechanics of Composite Materials
1.0,Medical physics
1.0,Mediterranean Journal of Clinical Psychology
1.0,Methods and Applications in …
1.0,Micro-structured and Specialty …
1.0,Micro-structured and …
1.0,Microchemical Journal
1.0,Microfluidics and Nanofluidics
1.0,Micromachines
1.0,Microwave and Optical …
1.0,Mid-infrared Quantum Cascade Lasers for Chaos …
1.0,Modern Physics Letters B
1.0,Modern Techniques of Spectroscopy: Basics …
1.0,Molecular Psychiatry
1.0,Molecules
1.0,Multifunctional Antennas and Arrays for Wireless …
1.0,Multimedia Tools and Applications
1.0,NDE 4.0 and Smart …
1.0,NPJ Flexible Electronics
1.0,Nano Energy
1.0,Nano Letters
1.0,Nano Select
1.0,Nano-
1.0,Nanomaterials
1.0,Nanophotonics
1.0,Nanoscale
4.0,Nature Communications
6.0,Nature Photonics
1.0,Neurocomputing
1.0,Neuropsychobiology
1.0,New Journal of Chemistry
1.0,New Journal of Physics
1.0,Newton-Maxwell Journal of Physics
1.0,NextGen Network Synchronization
1.0,Nonlinear Dynamics
1.0,Nonlinear Optics and Applications XII
1.0,Nonlinear Optics and …
1.0,Nuclear Engineering and …
1.0,Nuclear Technology
3.0,OSA Continuum
1.0,Ophthalmology Glaucoma
10.0,Optica
1.0,Optical Components and Materials XVIII
1.0,Optical Elastography and Tissue Biomechanics VIII
1.0,Optical Elastography and …
2.0,Optical Engineering
3.0,Optical Fiber Technology
1.0,Optical Fibers and Sensors for Medical Diagnostics …
1.0,Optical Interconnects XXI
1.0,Optical Materials
1.0,Optical Materials Express
1.0,Optical Review
2.0,Optical Sensors 
1.0,Optical Switching and …
1.0,Optical and Quantum Electronics
1.0,Optical and Quantum …
3.0,Optics & Laser Technology
3.0,Optics Communications
6.0,Optics Express
8.0,Optics Letters
7.0,Optics and Lasers in Engineering
2.0,Optik
6.0,Opto-Electronic Advances
4.0,Opto-Electronics Review
1.0,Optoelectronics Letters
1.0,PLOS Computational Biology
1.0,PLOS Neglected Tropical …
1.0,PSIQUEMAG/Revista Científica Digital de …
1.0,Pain Medicine
1.0,Palliative & Supportive Care
1.0,PeerJ
1.0,Photoacoustics
1.0,Photonic Heat Engines: Science and Applications III
1.0,Photonic Network Communications
3.0,Photonic Sensors
1.0,Photonics
6.0,Photonics Research
1.0,Photons Plus Ultrasound …
1.0,Physica B: Condensed Matter
1.0,Physica E: Low-dimensional …
1.0,Physica Scripta
1.0,Physical Chemistry Chemical Physics
2.0,Physical Review A
2.0,Physical Review Applied
2.0,Physical Review B
2.0,Physical Review Letters
1.0,Physics Letters A
1.0,Physics and Simulation of …
1.0,Plasmonics
1.0,PloS one
1.0,Polarized Light and Optical Angular Momentum for …
1.0,Power (dBm)
1.0,Proceedings of  International Conference on …
1.0,Proceedings of the  CHI Conference on …
1.0,Proceedings of the  International Conference on …
1.0,Proceedings of the  …
1.0,Proceedings of the Institution of Mechanical …
1.0,Proceedings of the Institution of …
1.0,Proceedings of the National Academy of Sciences
1.0,Proceedings of the National …
1.0,Progress In Electromagnetics …
1.0,Progress In …
1.0,Progress in Neuro …
1.0,Protoplasma
1.0,Psicothema
1.0,Psychiatria Polska
1.0,Psychiatric Services
1.0,Psychiatry Research
1.0,Psychiatry Research …
1.0,Psychological Medicine
1.0,Psychology of Substance Abuse: Psychotherapy …
1.0,Psychotherapy
1.0,Psychotherapy Research
1.0,Pulse
1.0,Quality of Life Research
1.0,Quantum Electronics
1.0,Química Nova
1.0,RSC Chemical Biology
1.0,Remote Sensing
1.0,Remote Sensing Applications: Society and …
1.0,Research
1.0,Results in Physics
1.0,Rock and Soil Mechanics
1.0,Russian Physics Journal
1.0,SMSI -Sensors and Instrumentation
1.0,SPE Hydraulic Fracturing Technology Conference and …
1.0,SPE Hydraulic Fracturing Technology …
1.0,SPE Hydraulic Fracturing …
1.0,SPE Journal
1.0,SPE Reservoir Evaluation & Engineering
1.0,SPE Western Regional …
1.0,SPWLA 62nd Annual …
1.0,Sakarya University Journal of Science
1.0,Saratov Fall Meeting  …
1.0,Saratov Fall Meeting : Optical and …
10.0,Science
3.0,Science Advances
3.0,Science Bulletin
1.0,Science China Materials
1.0,Science Robotics
1.0,Science and Innovation of Advanced Materials …
1.0,Science of The Total Environment
4.0,Scientific Reports
1.0,Seismological Research Letters
1.0,Semiconductor Physics
1.0,Seminars in Cell & …
2.0,Sensor Review
4.0,Sensors
2.0,Sensors and Actuators A …
2.0,Sensors and Actuators A: Physical
3.0,Sensors and Actuators B 
3.0,Sensors and Actuators B …
3.0,Sensors and Actuators B: Chemical
1.0,Sensors and Actuators Reports
1.0,Sensors and Materials
1.0,Sensors and Microsystems …
1.0,Sensors and Smart Structures Technologies for Civil …
1.0,Sensors and Smart …
1.0,Seventh Symposium on Novel …
1.0,Seventh Symposium on …
1.0,Shock and Vibration
1.0,Silicon
1.0,Simulation
1.0,Small
1.0,Smart Biomedical and …
1.0,Smart Materials and Structures
1.0,Social Cognitive and Affective Neuroscience
1.0,Social Science & Medicine
1.0,Solid Earth
1.0,Solid Earth Discussions
1.0,SoutheastCon 
1.0,Structural Concrete
1.0,Structural Control and Health …
1.0,Structural Control and …
3.0,Structural Health Monitoring
3.0,Structural health monitoring …
1.0,Superconductor Science and Technology
1.0,Superlattices and …
1.0,Suplemento de la Revista …
1.0,Supportive Care in Cancer
1.0,Tagungsband 2. Tage der Standortauswahl
1.0,Tagungsband der DGZfP …
1.0,Talanta
1.0,Tectonophysics
1.0,Textile Research Journal
1.0,The American Journal of …
1.0,The Annals of Family …
1.0,The Astrophysical Journal …
1.0,The Counseling …
1.0,The Journal of Individual Psychology
1.0,The Journal of Physical …
1.0,The Journal of the …
1.0,The Journals of Gerontology …
1.0,The Lancet Psychiatry
1.0,The Leading Edge
1.0,The Next Big Thing in Learning and …
1.0,The Pharmacogenomics …
1.0,The Proceedings of the 9th Frontier Academic …
1.0,The Scale-Up Effect in Early Childhood and Public …
1.0,Thermal Science and …
1.0,Tourism Management
1.0,TrAC Trends in Analytical …
1.0,Transactional Analysis Journal
1.0,Transactions of the Institute of Measurement and …
1.0,Translational Behavioral Medicine
1.0,Translational Psychiatry
1.0,Trends in Wireless Communication and Information …
1.0,Trials
1.0,Turkish Journal of Computer and Mathematics …
1.0,US Patent 10
1.0,US Patent App. 16/555
1.0,US Patent App. 16/706
1.0,US Patent App. 16/756
1.0,US Patent App. 16/870
1.0,US Patent App. 17/008
1.0,US Patent App. 17/023
1.0,US Patent App. 17/027
1.0,Ultrasonics
1.0,Verhaltenstherapie
1.0,Voices of Forensic Science
1.0,Waste Management & …
1.0,Wireless Communications & Mobile Computing (Online …
1.0,Wireless Networks
1.0,World psychiatry: official …
1.0,Zeitschrift für Naturforschung A
2.0,arXiv e-prints
2.0,arXiv preprint arXiv 
2.0,arXiv preprint arXiv …
2.0,arXiv preprint arXiv:.00492
2.0,arXiv preprint arXiv:.00676
2.0,arXiv preprint arXiv:.00847
2.0,arXiv preprint arXiv:.01163
2.0,arXiv preprint arXiv:.01402
2.0,arXiv preprint arXiv:.01691
2.0,arXiv preprint arXiv:.02485
2.0,arXiv preprint arXiv:.02809
2.0,arXiv preprint arXiv:.02905
2.0,arXiv preprint arXiv:.03289
2.0,arXiv preprint arXiv:.04069
2.0,arXiv preprint arXiv:.05101
2.0,arXiv preprint arXiv:.05459
2.0,arXiv preprint arXiv:.05836
2.0,arXiv preprint arXiv:.06232
2.0,arXiv preprint arXiv:.06274
2.0,arXiv preprint arXiv:.06465
2.0,arXiv preprint arXiv:.06527
2.0,arXiv preprint arXiv:.06554
2.0,arXiv preprint arXiv:.07058
2.0,arXiv preprint arXiv:.07099
2.0,arXiv preprint arXiv:.07309
2.0,arXiv preprint arXiv:.07822
2.0,arXiv preprint arXiv:.08135
2.0,arXiv preprint arXiv:.08670
2.0,arXiv preprint arXiv:.08892
2.0,arXiv preprint arXiv:.08913
2.0,arXiv preprint arXiv:.09101
2.0,arXiv preprint arXiv:.09297
2.0,arXiv preprint arXiv:.09509
2.0,arXiv preprint arXiv:.09618
2.0,arXiv preprint arXiv:.10073
2.0,arXiv preprint arXiv:.10246
2.0,arXiv preprint arXiv:.10494
2.0,arXiv preprint arXiv:.10562
2.0,arXiv preprint arXiv:.10801
2.0,arXiv preprint arXiv:.11265
2.0,arXiv preprint arXiv:.12150
2.0,arXiv preprint arXiv:.13258
2.0,arXiv preprint arXiv:.13599
2.0,arXiv preprint arXiv:.14809
2.0,arXiv preprint arXiv:.15353
2.0,arXiv preprint arXiv:.16890
2.0,arXiv preprint arXiv:.17068
1.0,links
1.0,Оптический журнал
1.0,مجله پزشكي باليني ابن سينا
1.0,… & Biobehavioral Reviews
1.0,… (CBRNE) Sensing XXII
1.0,… : Plan
1.0,… Characterization and Monitoring of Advanced Materials …
1.0,… Electronics: Devices and …
1.0,… Frequency Generation and …
1.0,… Journal of Remote Sensing
1.0,… Materials: Applications in Integrated Electronic Devices
1.0,… Microresonators
1.0,… Processing in the Field of on …
1.0,… Research and Applications
1.0,… Technologies Review/Revista de …
1.0,… and Monitoring of …
1.0,… and Therapeutic Medicine
1.0,… in Nonlinear Science and …
1.0,… journal of robotics research and application
2.0,… of Lightwave Technology
1.0,… of Structural and Biological Systems XV
1.0,… of the  CHI Conference on …
1.0,… on Systems
2.0,中国光学
2.0,中国激光
1.0,人工晶体学报
2.0,光子学报
2.0,光学学报
2.0,光学技术
1.0,光散射学报
2.0,光电技术应用
1.0,光谱学与光谱分析
1.0,光通信技术
1.0,光通信研究
1.0,半导体光电
1.0,地球物理学报
1.0,工程力学
1.0,强激光与粒子束
1.0,日本大腸肛門病学会雑誌
2.0,激光与光电子学进展
2.0,物理学报
1.0,现代中医临床
1.0,电子学报
1.0,红外
2.0,红外与激光工程
1.0,重庆邮电大学学报 (自然科学版)
